"","school_name","address","latitude","longitude"
"127","RIVER VALLEY PRIMARY SCHOOL","2 river valley green","1.29418347842837","103.836018941571"
"128","RIVERSIDE PRIMARY SCHOOL","110 woodlands crescent","1.44783369895684","103.80197619401"
"129","RIVERVALE PRIMARY SCHOOL","80 rivervale drive","1.39333506298213","103.904545253288"
"130","ROSYTH SCHOOL","21 serangoon north avenue 4","1.37289067499064","103.875001549174"
"131","RULANG PRIMARY SCHOOL","6 jurong west street 52","1.34718953201213","103.718786145011"
"132","SEMBAWANG PRIMARY SCHOOL","10 sembawang drive","1.37730614502021","103.828820879667"
"133","SENG KANG PRIMARY SCHOOL","21 compassvale walk","1.38949740422462","103.899767112047"
"134","SENGKANG GREEN PRIMARY SCHOOL","15 fernvale road","1.39283924999573","103.875158826938"
"135","SHUQUN PRIMARY SCHOOL","8 jurong west street 51","1.34760285244673","103.721459527674"
"136","SI LING PRIMARY SCHOOL","61 woodlands avenue 1","1.43240935732525","103.786035065192"
"137","SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL","190 dunearn road","1.3206340835184","103.828164966953"
"138","SOUTH VIEW PRIMARY SCHOOL","6 choa chu kang central","1.38166664389749","103.746275846011"
"139","SPRINGDALE PRIMARY SCHOOL","71 anchorvale link","1.39495818021916","103.889896508672"
"140","ST. ANDREW'S JUNIOR SCHOOL","2 francis thomas drive","1.33140255308868","103.865117134385"
"141","ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL","1602 bedok north ave 4","1.3347253730189","103.941234868202"
"142","ST. ANTHONY'S PRIMARY SCHOOL","30 bukit batok st 32","1.36411948475833","103.749251919049"
"143","ST. GABRIEL'S PRIMARY SCHOOL","220 lorong chuan","1.34930766795555","103.862309899986"
"144","ST. HILDA'S PRIMARY SCHOOL","2 tampines ave 3","1.34934960586367","103.936865693533"
"145","ST. JOSEPH'S INSTITUTION JUNIOR","3 essex road","1.31772860986913","103.845611935235"
"146","ST. MARGARET'S PRIMARY SCHOOL","2 mattar road","1.32439150290682","103.881624837373"
"147","ST. STEPHEN'S SCHOOL","20 siglap view","1.31878279235375","103.917372254203"
"148","STAMFORD PRIMARY SCHOOL","1 victoria lane","1.30345638467449","103.857453500579"
"149","TAMPINES NORTH PRIMARY SCHOOL","30 tampines avenue 9","1.36047641484682","103.948725782833"
"150","TAMPINES PRIMARY SCHOOL","250 tampines street 12","1.3504863946694","103.943573098509"
"151","TANJONG KATONG PRIMARY SCHOOL","10 seraya road","1.30498489044822","103.899999965407"
"152","TAO NAN SCHOOL","49 marine crescent","1.30528528687321","103.911553152326"
"153","TECK GHEE PRIMARY SCHOOL","1 ang mo kio street 32","1.36565018546903","103.851009800453"
"154","TECK WHYE PRIMARY SCHOOL","11 teck whye walk","1.38364996834457","103.753291857016"
"155","TELOK KURAU PRIMARY SCHOOL","50 bedok reservoir rd","1.33109611001931","103.911005345855"
"156","TEMASEK PRIMARY SCHOOL","501 bedok south ave 3","1.31720341663064","103.94575943784"
"157","TOWNSVILLE PRIMARY SCHOOL","3 ang mo kio ave 10","1.36003263746623","103.853826048327"
"158","UNITY PRIMARY SCHOOL","21 choa chu kang crescent","1.40285481877246","103.746822625758"
"159","VALOUR PRIMARY SCHOOL","49 punggol central","1.40686202016291","103.899078423093"
"160","WATERWAY PRIMARY SCHOOL","70 punggol drive","1.39882800626578","103.918621581556"
"161","WELLINGTON PRIMARY SCHOOL","10 wellington circle","1.45192019155475","103.822303719094"
"162","WEST GROVE PRIMARY SCHOOL","1 jurong west st 72","1.344803668030184","103.69894132223683"
"163","WEST SPRING PRIMARY SCHOOL","60 bukit panjang ring road","1.38944145898943","103.766195711835"
"164","WEST VIEW PRIMARY SCHOOL","31 senja road","1.3836758200336","103.760240434318"
"165","WESTWOOD PRIMARY SCHOOL","1 jurong west street 73","1.3477109654722","103.700467520791"
"166","WHITE SANDS PRIMARY SCHOOL","2 pasir ris st 11","1.3657067175511348","103.96106066641337"
"167","WOODGROVE PRIMARY SCHOOL","2 woodlands drive 14","1.43310340168966","103.790604437613"
"168","WOODLANDS PRIMARY SCHOOL","10 woodlands drive 50","1.43658270720199","103.791791282236"
"169","WOODLANDS RING PRIMARY SCHOOL","11 woodlands ring road","1.43495229315857","103.797435733144"
"170","XINGHUA PRIMARY SCHOOL","45 hougang avenue 1","1.35790893589535","103.890472887906"
"171","XINGNAN PRIMARY SCHOOL","5 jurong west street 91","1.34254744877694","103.687950252103"
"172","XINMIN PRIMARY SCHOOL","9 hougang avenue 8","1.37176798317468","103.88280991785"
"173","XISHAN PRIMARY SCHOOL","8 yishun street 21","1.43347186049118","103.837755326519"
"174","YANGZHENG PRIMARY SCHOOL","15 serangoon avenue 3","1.34864575840923","103.868595527042"
"175","YEW TEE PRIMARY SCHOOL","10 choa chu kang st 64","1.39676600905037","103.750985967346"
"176","YIO CHU KANG PRIMARY SCHOOL","1 hougang street 51","1.3778227088538","103.885568719387"
"177","YISHUN PRIMARY SCHOOL","500 yishun ring road","1.43351074871338","103.833920424962"
"178","YU NENG PRIMARY SCHOOL","56 bedok north st 3","1.33388930344069","103.932144857355"
"179","YUHUA PRIMARY SCHOOL","158 jurong east street 24","1.34280230475033","103.741105772644"
"180","YUMIN PRIMARY SCHOOL","3 tampines street 21","1.35129177656981","103.950461927088"
"181","ZHANGDE PRIMARY SCHOOL","51 jalan membina","1.28421153855474","103.825951884637"
"182","ZHENGHUA PRIMARY SCHOOL","9 fajar road","1.37954887512229","103.769313521752"
"183","ZHONGHUA PRIMARY SCHOOL","12 serangoon avenue 4","1.36020329705047","103.869762438084"
