"","s/no","name_of_hawker_centre","original_address","manager","address","latitude","longitude"
"57","57","Blk 353 Clementi Ave 2","Blk 353, Clementi Ave 2, S(120353)","Jurong - Clementi Town Council","353 Clementi Ave 2","1.31437917978956","103.770919561136"
"58","58","Blk 448 Clementi Ave 3","Blk 448, Clementi Ave 3, S(120448)","Jurong - Clementi Town Council","448 Clementi Ave 3","1.31331969319644","103.764517192874"
"59","59","Blk 726 Clementi West Street 2","Blk 726, Clementi West Street 2, S(120726)","West Coast Town Council","726 Clementi West Street 2","1.30381073184127","103.764250748436"
"60","60","Blk 7 Empress Road","Blk 7, Empress Road, S(260007)","Holland - Bukit Panjang Town Council","7 Empress Road","1.31624052960518","103.805636700397"
"61","61","Blk 4A Eunos Crescent","Blk 4A, Eunos Crescent, S(402004)","Marine Parade Town Council","4A Eunos Crescent","1.32033126010096","103.904256478426"
"62","62","Blk 69 Geylang Bahru","Blk 69, Geylang Bahru, S(330069)","Jalan Besar Town Council","69 Geylang Bahru","1.32146311046779","103.870005014547"
"63","63","Blk 20 Ghim Moh Road","Blk 20, Ghim Moh Road, S(270020)","Holland - Bukit Panjang Town Council","20 Ghim Moh Road","1.31099663218896","103.78823030662"
"64","64","Blks 13/14 Haig Road","Blks 13/14, Haig Road, S(430013/430014)","Marine Parade Town Council","14 Haig Road","1.31514204972284","103.895609544204"
"65","65","Blks 22A/B Havelock Road","Blks 22A/B, Havelock Road, S(161022/162022)","Jalan Besar Town Council","22B Havelock Road","1.28775546193797","103.829362888759"
"66","66","Blk 44 Holland Drive","Blk 44, Holland Drive, S(270044)","Tanjong Pagar Town Council","44 Holland Drive","1.30811780015992","103.792773769341"
"67","67","Hong Lim Market & Food Centre","Blk 531A, Upper Cross Street, S(051531)","Jalan Besar Town Council","531A Upper Cross Street","1.28532379322674","103.845776735598"
"68","68","Blk 105 Hougang Ave 1","Blk 105, Hougang Ave 1, S(530105)","Aljunied - Hougang Town Council","105 Hougang Ave 1","1.35408273910145","103.890130407955"
"69","69","Blk 4A Jalan Batu","Blk 4A, Jalan Batu, S(432004)","Marine Parade Town Council","4A Jalan Batu","1.30236034827101","103.883909473726"
"70","70","Blk 112 Jalan Bukit Merah","Blk 112, Jalan Bukit Merah, S(160112)","Tanjong Pagar Town Council","112 Jalan Bukit Merah","1.28000480135122","103.82601329621"
"71","71","Blk 1 Jalan Kukoh","Blk 1, Jalan Kukoh, S(161001)","Jalan Besar Town Council","1 Jalan Kukoh","1.28825209188554","103.839940269227"
"72","72","Blk 347 Jurong East Ave 1","Blk 347, Jurong East Ave 1, S(600347)","Jurong - Clementi Town Council","347 Jurong East Ave 1","1.34531253284138","103.731579765339"
"73","73","Blk 254 Jurong East Street 24","Blk 254, Jurong East Street 24, S(600254)","Jurong - Clementi Town Council","254 Jurong East Street 24","1.34348818520494","103.73773841183"
